Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
17 Rioja, La	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2016T2	8,93
17 Rioja, La	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2016T1	9,14
17 Rioja, La	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T4	""
17 Rioja, La	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T3	""
17 Rioja, La	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T2	""
17 Rioja, La	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T1	""
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2021T2	49,87
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2021T1	39,45
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2020T4	43,69
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2020T3	36,09
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2020T2	33,41
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2020T1	67,75
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2019T4	69,22
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2019T3	59,56
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2019T2	71,37
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2019T1	68,52
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2018T4	64,35
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2018T3	55,36
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2018T2	71,54
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2018T1	61,34
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2017T4	54,31
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2017T3	49,08
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2017T2	64,74
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2017T1	57,41
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2016T4	56,99
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2016T3	44,35
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2016T2	61,92
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2016T1	56,42
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2015T4	60,66
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2015T3	48,74
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2015T2	58,61
17 Rioja, La	Gasto medio diario por persona	Valor absoluto	2015T1	46,56
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2021T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2021T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2020T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2020T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2020T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2020T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2019T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2019T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2019T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2019T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2018T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2018T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2018T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2018T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2017T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2017T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2017T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2017T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2016T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2016T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2016T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2016T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2015T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2015T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2015T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual	2015T1	""
