Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2019T3	332,16
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2019T2	320,11
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2019T1	329,22
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2018T4	330,85
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2018T3	330,5
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2018T2	349,07
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2018T1	367,05
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2017T4	312,47
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2017T3	304,02
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2017T2	317,62
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2017T1	290,73
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2016T4	363,56
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2016T3	356,39
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2016T2	337,86
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2016T1	369,88
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2015T4	293,75
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2015T3	282,77
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2015T2	292,66
04 Balears, Illes	Gasto medio por persona	Acumulado en lo que va de año	2015T1	345,42
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2021T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2021T1	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2020T4	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2020T3	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2020T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2020T1	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2019T4	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2019T3	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2019T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2019T1	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2018T4	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2018T3	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2018T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2018T1	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2017T4	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2017T3	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2017T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2017T1	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2016T4	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2016T3	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2016T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2016T1	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2015T4	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2015T3	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2015T2	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual del acumulado	2015T1	""
04 Balears, Illes	Gasto medio por persona	Variación anual	2021T2	-5,83
04 Balears, Illes	Gasto medio por persona	Variación anual	2021T1	-45,76
04 Balears, Illes	Gasto medio por persona	Variación anual	2020T4	-32,75
04 Balears, Illes	Gasto medio por persona	Variación anual	2020T3	-28,37
04 Balears, Illes	Gasto medio por persona	Variación anual	2020T2	-39,79
04 Balears, Illes	Gasto medio por persona	Variación anual	2020T1	-1,56
04 Balears, Illes	Gasto medio por persona	Variación anual	2019T4	-5,35
04 Balears, Illes	Gasto medio por persona	Variación anual	2019T3	18,9
04 Balears, Illes	Gasto medio por persona	Variación anual	2019T2	-7,03
04 Balears, Illes	Gasto medio por persona	Variación anual	2019T1	-10,31
04 Balears, Illes	Gasto medio por persona	Variación anual	2018T4	-2,2
04 Balears, Illes	Gasto medio por persona	Variación anual	2018T3	7,33
04 Balears, Illes	Gasto medio por persona	Variación anual	2018T2	-1,1
04 Balears, Illes	Gasto medio por persona	Variación anual	2018T1	26,25
04 Balears, Illes	Gasto medio por persona	Variación anual	2017T4	-11,47
04 Balears, Illes	Gasto medio por persona	Variación anual	2017T3	-28,1
04 Balears, Illes	Gasto medio por persona	Variación anual	2017T2	12,45
04 Balears, Illes	Gasto medio por persona	Variación anual	2017T1	-21,4
04 Balears, Illes	Gasto medio por persona	Variación anual	2016T4	15,93
04 Balears, Illes	Gasto medio por persona	Variación anual	2016T3	47,23
04 Balears, Illes	Gasto medio por persona	Variación anual	2016T2	21,19
04 Balears, Illes	Gasto medio por persona	Variación anual	2016T1	7,08
04 Balears, Illes	Gasto medio por persona	Variación anual	2015T4	""
04 Balears, Illes	Gasto medio por persona	Variación anual	2015T3	""
04 Balears, Illes	Gasto medio por persona	Variación anual	2015T2	""
04 Balears, Illes	Gasto medio por persona	Variación anual	2015T1	""
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2021T2	-40,12
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2021T1	-45,76
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2020T4	-18,74
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2020T3	-16,24
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2020T2	-7,88
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2020T1	-1,56
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2019T4	-1,02
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2019T3	0,5
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2019T2	-8,3
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2019T1	-10,31
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2018T4	5,88
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2018T3	8,71
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2018T2	9,9
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2018T1	26,25
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2017T4	-14,05
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2017T3	-14,7
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2017T2	-5,99
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2017T1	-21,4
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2016T4	23,77
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2016T3	26,03
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2016T2	15,44
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2016T1	7,08
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T4	""
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T3	""
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T2	""
04 Balears, Illes	Gasto medio por persona	Variación anual del acumulado en lo que va de año	2015T1	""
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2021T2	58,94
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2021T1	42,92
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2020T4	45,62
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2020T3	43,48
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2020T2	35,89
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2020T1	67,97
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2019T4	78,75
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2019T3	63,74
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2019T2	86,9
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2019T1	72,96
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2018T4	81,77
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2018T3	53,17
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2018T2	100,09
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2018T1	71,89
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2017T4	71,16
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2017T3	46,8
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2017T2	95,6
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2017T1	69,12
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2016T4	92,16
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2016T3	48,83
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2016T2	77,56
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2016T1	66,77
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2015T4	87,91
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2015T3	42,79
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2015T2	68,88
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2015T1	55,44
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2021T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2021T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2020T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2020T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2020T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2020T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2019T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2019T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2019T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2019T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2018T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2018T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2018T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2018T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2017T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2017T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2017T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2017T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2016T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2016T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2016T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2016T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2015T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2015T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2015T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2015T1	""
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2021T2	53,35
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2021T1	42,92
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2020T4	51,41
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2020T3	52,53
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2020T2	60,58
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2020T1	67,97
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2019T4	74,47
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2019T3	73,14
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2019T2	79,53
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2019T1	72,96
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2018T4	72,89
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2018T3	70,5
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2018T2	85,05
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2018T1	71,89
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2017T4	67,27
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2017T3	66
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2017T2	82,65
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2017T1	69,12
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2016T4	66,62
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2016T3	60,13
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2016T2	70,91
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2016T1	66,77
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2015T4	59,6
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2015T3	53,6
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2015T2	60,98
04 Balears, Illes	Gasto medio diario por persona	Acumulado en lo que va de año	2015T1	55,44
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2021T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2021T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T1	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T4	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T3	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T2	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T1	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2021T2	64,21
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2021T1	-36,85
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2020T4	-42,07
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2020T3	-31,78
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2020T2	-58,7
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2020T1	-6,83
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2019T4	-3,7
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2019T3	19,87
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2019T2	-13,18
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2019T1	1,49
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2018T4	14,91
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2018T3	13,63
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2018T2	4,7
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2018T1	4,01
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2017T4	-22,78
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2017T3	-4,16
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2017T2	23,27
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2017T1	3,52
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2016T4	4,83
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2016T3	14,12
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2016T2	12,61
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2016T1	20,43
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2015T4	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2015T3	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2015T2	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2015T1	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2021T2	-11,93
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2021T1	-36,85
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T4	-30,96
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T3	-28,17
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T2	-23,83
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T1	-6,83
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T4	2,17
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T3	3,74
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T2	-6,49
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T1	1,49
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T4	8,35
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T3	6,82
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T2	2,91
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T1	4,01
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T4	0,98
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T3	9,77
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T2	16,56
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T1	3,52
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T4	11,78
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T3	12,18
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T2	16,29
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T1	20,43
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T4	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T3	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T2	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T1	""
05 Canarias	Viajes	Valor absoluto	2021T2	1.123.122
05 Canarias	Viajes	Valor absoluto	2021T1	948.012
05 Canarias	Viajes	Valor absoluto	2020T4	1.043.871
05 Canarias	Viajes	Valor absoluto	2020T3	1.659.064
05 Canarias	Viajes	Valor absoluto	2020T2	407.207
05 Canarias	Viajes	Valor absoluto	2020T1	1.021.806
05 Canarias	Viajes	Valor absoluto	2019T4	1.447.914
05 Canarias	Viajes	Valor absoluto	2019T3	2.295.291
05 Canarias	Viajes	Valor absoluto	2019T2	1.617.000
05 Canarias	Viajes	Valor absoluto	2019T1	1.571.347
05 Canarias	Viajes	Valor absoluto	2018T4	1.605.011
05 Canarias	Viajes	Valor absoluto	2018T3	2.188.453
05 Canarias	Viajes	Valor absoluto	2018T2	1.531.138
05 Canarias	Viajes	Valor absoluto	2018T1	1.323.238
05 Canarias	Viajes	Valor absoluto	2017T4	1.504.356
05 Canarias	Viajes	Valor absoluto	2017T3	2.038.112
05 Canarias	Viajes	Valor absoluto	2017T2	1.418.677
05 Canarias	Viajes	Valor absoluto	2017T1	1.222.438
05 Canarias	Viajes	Valor absoluto	2016T4	1.377.633
05 Canarias	Viajes	Valor absoluto	2016T3	1.659.563
05 Canarias	Viajes	Valor absoluto	2016T2	1.466.178
05 Canarias	Viajes	Valor absoluto	2016T1	1.224.226
05 Canarias	Viajes	Valor absoluto	2015T4	1.255.122
05 Canarias	Viajes	Valor absoluto	2015T3	1.599.285
05 Canarias	Viajes	Valor absoluto	2015T2	1.504.934
05 Canarias	Viajes	Valor absoluto	2015T1	1.197.812
05 Canarias	Viajes	Distribución porcentual	2021T2	3,3
05 Canarias	Viajes	Distribución porcentual	2021T1	6,2
05 Canarias	Viajes	Distribución porcentual	2020T4	6,1
05 Canarias	Viajes	Distribución porcentual	2020T3	3,6
05 Canarias	Viajes	Distribución porcentual	2020T2	4,5
05 Canarias	Viajes	Distribución porcentual	2020T1	3,5
05 Canarias	Viajes	Distribución porcentual	2019T4	3,6
05 Canarias	Viajes	Distribución porcentual	2019T3	3,8
05 Canarias	Viajes	Distribución porcentual	2019T2	3,2
05 Canarias	Viajes	Distribución porcentual	2019T1	3,8
05 Canarias	Viajes	Distribución porcentual	2018T4	4
05 Canarias	Viajes	Distribución porcentual	2018T3	3,4
05 Canarias	Viajes	Distribución porcentual	2018T2	3
05 Canarias	Viajes	Distribución porcentual	2018T1	3,3
05 Canarias	Viajes	Distribución porcentual	2017T4	3,8
05 Canarias	Viajes	Distribución porcentual	2017T3	3,2
05 Canarias	Viajes	Distribución porcentual	2017T2	2,8
05 Canarias	Viajes	Distribución porcentual	2017T1	3,1
05 Canarias	Viajes	Distribución porcentual	2016T4	3,6
05 Canarias	Viajes	Distribución porcentual	2016T3	2,7
05 Canarias	Viajes	Distribución porcentual	2016T2	3,4
05 Canarias	Viajes	Distribución porcentual	2016T1	3
05 Canarias	Viajes	Distribución porcentual	2015T4	3,3
05 Canarias	Viajes	Distribución porcentual	2015T3	2,7
05 Canarias	Viajes	Distribución porcentual	2015T2	3,2
05 Canarias	Viajes	Distribución porcentual	2015T1	3,7
05 Canarias	Viajes	Acumulado en lo que va de año	2021T2	2.071.134
05 Canarias	Viajes	Acumulado en lo que va de año	2021T1	948.012
05 Canarias	Viajes	Acumulado en lo que va de año	2020T4	4.131.947
05 Canarias	Viajes	Acumulado en lo que va de año	2020T3	3.088.077
05 Canarias	Viajes	Acumulado en lo que va de año	2020T2	1.429.013
05 Canarias	Viajes	Acumulado en lo que va de año	2020T1	1.021.806
05 Canarias	Viajes	Acumulado en lo que va de año	2019T4	6.931.553
05 Canarias	Viajes	Acumulado en lo que va de año	2019T3	5.483.639
05 Canarias	Viajes	Acumulado en lo que va de año	2019T2	3.188.347
05 Canarias	Viajes	Acumulado en lo que va de año	2019T1	1.571.347
05 Canarias	Viajes	Acumulado en lo que va de año	2018T4	6.647.840
05 Canarias	Viajes	Acumulado en lo que va de año	2018T3	5.042.829
05 Canarias	Viajes	Acumulado en lo que va de año	2018T2	2.854.375
05 Canarias	Viajes	Acumulado en lo que va de año	2018T1	1.323.238
05 Canarias	Viajes	Acumulado en lo que va de año	2017T4	6.183.583
05 Canarias	Viajes	Acumulado en lo que va de año	2017T3	4.679.227
05 Canarias	Viajes	Acumulado en lo que va de año	2017T2	2.641.114
05 Canarias	Viajes	Acumulado en lo que va de año	2017T1	1.222.438
05 Canarias	Viajes	Acumulado en lo que va de año	2016T4	5.727.601
05 Canarias	Viajes	Acumulado en lo que va de año	2016T3	4.349.968
05 Canarias	Viajes	Acumulado en lo que va de año	2016T2	2.690.404
05 Canarias	Viajes	Acumulado en lo que va de año	2016T1	1.224.226
05 Canarias	Viajes	Acumulado en lo que va de año	2015T4	5.557.153
05 Canarias	Viajes	Acumulado en lo que va de año	2015T3	4.302.031
05 Canarias	Viajes	Acumulado en lo que va de año	2015T2	2.702.746
05 Canarias	Viajes	Acumulado en lo que va de año	2015T1	1.197.812
05 Canarias	Viajes	Distribución porcentual del acumulado	2021T2	4,2
05 Canarias	Viajes	Distribución porcentual del acumulado	2021T1	6,2
05 Canarias	Viajes	Distribución porcentual del acumulado	2020T4	4,1
05 Canarias	Viajes	Distribución porcentual del acumulado	2020T3	3,7
05 Canarias	Viajes	Distribución porcentual del acumulado	2020T2	3,7
05 Canarias	Viajes	Distribución porcentual del acumulado	2020T1	3,5
05 Canarias	Viajes	Distribución porcentual del acumulado	2019T4	3,6
05 Canarias	Viajes	Distribución porcentual del acumulado	2019T3	3,6
05 Canarias	Viajes	Distribución porcentual del acumulado	2019T2	3,5
05 Canarias	Viajes	Distribución porcentual del acumulado	2019T1	3,8
05 Canarias	Viajes	Distribución porcentual del acumulado	2018T4	3,4
05 Canarias	Viajes	Distribución porcentual del acumulado	2018T3	3,2
05 Canarias	Viajes	Distribución porcentual del acumulado	2018T2	3,1
05 Canarias	Viajes	Distribución porcentual del acumulado	2018T1	3,3
05 Canarias	Viajes	Distribución porcentual del acumulado	2017T4	3,2
05 Canarias	Viajes	Distribución porcentual del acumulado	2017T3	3
05 Canarias	Viajes	Distribución porcentual del acumulado	2017T2	2,9
05 Canarias	Viajes	Distribución porcentual del acumulado	2017T1	3,1
05 Canarias	Viajes	Distribución porcentual del acumulado	2016T4	3,1
05 Canarias	Viajes	Distribución porcentual del acumulado	2016T3	3
05 Canarias	Viajes	Distribución porcentual del acumulado	2016T2	3,2
05 Canarias	Viajes	Distribución porcentual del acumulado	2016T1	3
05 Canarias	Viajes	Distribución porcentual del acumulado	2015T4	3,2
05 Canarias	Viajes	Distribución porcentual del acumulado	2015T3	3,1
05 Canarias	Viajes	Distribución porcentual del acumulado	2015T2	3,4
05 Canarias	Viajes	Distribución porcentual del acumulado	2015T1	3,7
05 Canarias	Viajes	Variación anual	2021T2	175,81
